-0.65,"[4, 7, 2, 5, 13, 15, 0.9983671334343474]"
-0.0,"[4, 7, 3, 5, 15, 15, 0.9982077525256366]"
-0.0,"[1, 8, 2, 5, 13, 13, 0.999561037511151]"
-0.62,"[1, 5, 1, 2, 9, 14, 1.0018815163871444]"
-1.43,"[4, 4, 1, 3, 9, 14, 1.0011084844087539]"
-0.63,"[3, 4, 1, 5, 12, 16, 1.002778235987747]"
-0.8,"[4, 7, 2, 2, 11, 16, 0.9989091703320508]"
-0.41,"[4, 6, 1, 5, 10, 13, 0.99812263171551]"
-0.3,"[4, 10, 3, 5, 14, 16, 0.9986633632244144]"
-0.36,"[4, 10, 1, 3, 12, 16, 1.002197493553428]"
-0.92,"[1, 3, 3, 2, 9, 16, 0.9955776092708916]"
-0.73,"[2, 9, 2, 3, 12, 14, 0.9963735237701291]"
-0.0,"[3, 10, 2, 5, 14, 14, 0.9999883973178898]"
-0.45,"[3, 2, 4, 4, 13, 14, 0.9994251897135578]"
-0.19,"[1, 2, 2, 3, 12, 13, 1.003433950603643]"
-0.93,"[3, 8, 3, 2, 10, 13, 0.9955291451150787]"
-0.0,"[4, 2, 3, 3, 11, 16, 0.9999212081058498]"
-0.23,"[1, 4, 2, 5, 14, 16, 0.9994937578812619]"
-0.89,"[2, 10, 2, 4, 11, 13, 1.0018032076821441]"
-1.55,"[1, 7, 1, 4, 10, 14, 1.0003930943740431]"
0.13,"[4, 6, 2, 3, 14, 15, 1.0029105401426401]"
-1.18,"[1, 4, 3, 2, 10, 13, 1.0039974306935453]"
-0.0,"[1, 3, 3, 5, 15, 14, 1.001358189320385]"
-1.19,"[4, 4, 4, 3, 11, 13, 1.0049668061408563]"
-1.61,"[3, 6, 2, 4, 9, 14, 1.00221418995781]"
-1.52,"[2, 5, 4, 3, 9, 15, 1.001137839620546]"
-1.96,"[3, 5, 4, 5, 10, 16, 1.0031162144652641]"
-0.33,"[4, 6, 2, 3, 9, 14, 0.998151215989984]"
-1.45,"[1, 5, 2, 5, 9, 16, 0.9990353356571757]"
-1.22,"[3, 2, 1, 5, 10, 15, 0.9998555049820521]"
-0.83,"[2, 9, 1, 3, 11, 15, 1.0040344429343269]"
-0.0,"[3, 7, 1, 4, 14, 14, 0.997757445301818]"
-0.0,"[4, 5, 4, 2, 13, 16, 0.9986930515610912]"
-0.86,"[3, 3, 3, 3, 12, 15, 0.9966194263380953]"
-1.35,"[2, 4, 3, 2, 10, 14, 0.9952179728180723]"
-0.37,"[1, 8, 2, 3, 12, 15, 1.0046432017973659]"
-1.52,"[4, 7, 3, 4, 11, 16, 1.0016634606644281]"
-0.61,"[1, 2, 1, 4, 12, 16, 1.0002184952758857]"
-0.0,"[4, 3, 2, 4, 15, 15, 1.0001117107994086]"
-0.0,"[1, 3, 4, 4, 15, 13, 0.9967042671964116]"
-0.0,"[4, 10, 1, 2, 15, 13, 1.000677407594804]"
-0.3,"[2, 6, 1, 2, 13, 15, 1.0003996366122616]"
-0.74,"[3, 8, 3, 5, 9, 13, 0.9974799785320414]"
-0.0,"[4, 2, 2, 4, 13, 15, 0.9964690470895726]"
-0.0,"[4, 2, 2, 4, 10, 14, 0.9975329356992069]"
-0.0,"[1, 4, 3, 3, 14, 14, 0.9996440159423483]"
-1.38,"[4, 7, 2, 4, 11, 14, 1.0035795303770016]"
-0.0,"[1, 8, 4, 3, 13, 13, 1.0047512828353506]"
-0.51,"[3, 6, 1, 3, 12, 16, 0.9985703293635589]"
-1.15,"[1, 3, 4, 5, 11, 16, 1.0004571912793803]"
-0.59,"[1, 4, 1, 5, 11, 15, 0.9977730623090504]"
-0.0,"[4, 5, 3, 2, 15, 15, 0.9981434875650611]"
-0.27,"[4, 3, 2, 5, 13, 14, 1.0027697432573588]"
-0.0,"[1, 6, 2, 5, 13, 13, 0.9985447783508715]"
-1.02,"[2, 6, 1, 5, 9, 16, 0.999493447361088]"
-0.0,"[4, 8, 2, 4, 15, 13, 1.0006569836320627]"
-0.48,"[1, 3, 2, 4, 13, 14, 0.9973744575897643]"
-1.13,"[1, 3, 4, 3, 10, 13, 1.0012746512844728]"
-1.08,"[4, 10, 2, 3, 11, 16, 1.0034497382259866]"
-0.89,"[2, 3, 4, 3, 12, 16, 0.9976867749412663]"
-1.77,"[4, 5, 4, 5, 10, 16, 1.000384043294424]"
-1.37,"[4, 9, 4, 4, 10, 16, 0.9992070633080534]"
-2.06,"[3, 2, 4, 5, 10, 16, 1.0018321622369335]"
-0.0,"[4, 2, 4, 5, 10, 15, 1.000236227967544]"
-2.14,"[3, 2, 4, 5, 10, 16, 1.0031632275661977]"
-2.09,"[4, 3, 4, 5, 10, 16, 1.0049707823828142]"
-1.95,"[3, 2, 4, 4, 9, 16, 1.003826057368206]"
-1.99,"[3, 2, 4, 5, 10, 16, 1.000959713576754]"
-1.87,"[3, 2, 4, 5, 10, 16, 1.000411651496927]"
-1.79,"[3, 2, 4, 5, 11, 16, 1.0023918282329223]"
-2.0,"[4, 9, 4, 5, 10, 16, 1.004998717465277]"
-1.89,"[4, 3, 4, 5, 9, 16, 1.0039184686734086]"
-1.81,"[3, 2, 4, 5, 10, 15, 1.0026052132255772]"
-0.0,"[4, 2, 4, 5, 9, 16, 1.000503792634513]"
-1.94,"[4, 8, 4, 5, 10, 16, 1.001878569150272]"
-2.08,"[4, 5, 4, 5, 9, 16, 1.0018003873620254]"
-1.84,"[4, 4, 4, 5, 9, 16, 1.0014704996810424]"
