-1.0,"[3, 5, 1, 2, 12, 13]"
0.64,"[3, 4, 1, 4, 9, 13]"
-2.14,"[3, 7, 4, 5, 9, 15]"
-0.0,"[3, 8, 3, 5, 15, 14]"
-2.55,"[1, 10, 3, 5, 12, 16]"
-2.18,"[4, 7, 2, 4, 10, 15]"
-1.27,"[4, 4, 3, 4, 12, 14]"
-1.23,"[2, 7, 2, 2, 14, 15]"
-0.0,"[3, 7, 3, 2, 11, 10]"
0.49,"[4, 5, 3, 4, 9, 12]"
0.55,"[2, 6, 2, 2, 9, 11]"
-0.0,"[1, 5, 4, 4, 13, 10]"
-0.0,"[2, 4, 2, 2, 11, 10]"
-0.0,"[1, 5, 3, 2, 14, 11]"
-0.0,"[4, 8, 2, 5, 15, 12]"
0.22,"[3, 3, 3, 4, 9, 11]"
-2.64,"[3, 7, 3, 5, 11, 15]"
-2.08,"[1, 6, 3, 3, 11, 15]"
-0.0,"[2, 2, 2, 2, 13, 10]"
-0.0,"[1, 5, 3, 5, 13, 12]"
-2.05,"[4, 9, 3, 5, 9, 15]"
-2.3,"[3, 9, 2, 5, 11, 15]"
-1.34,"[3, 9, 4, 5, 14, 15]"
-2.05,"[2, 5, 3, 5, 9, 16]"
-2.7,"[3, 3, 4, 5, 11, 15]"
-2.64,"[3, 4, 3, 5, 11, 15]"
-1.9,"[3, 3, 3, 5, 11, 14]"
-2.11,"[3, 4, 3, 5, 13, 15]"
-0.0,"[3, 2, 3, 4, 11, 16]"
-1.8,"[3, 4, 1, 5, 11, 16]"
-0.0,"[4, 3, 1, 5, 11, 15]"
-2.65,"[2, 3, 3, 5, 11, 15]"
-0.0,"[3, 2, 3, 5, 10, 15]"
-2.66,"[1, 3, 3, 5, 11, 15]"
-2.65,"[2, 3, 3, 5, 11, 15]"
-1.87,"[2, 2, 1, 5, 11, 15]"
-2.66,"[1, 2, 3, 5, 11, 15]"
-2.12,"[1, 2, 3, 5, 13, 16]"
-1.95,"[1, 3, 4, 4, 9, 15]"
-2.7,"[3, 3, 4, 5, 11, 15]"
-0.0,"[3, 2, 3, 5, 11, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.56,"[3, 3, 3, 5, 12, 15]"
-2.56,"[3, 3, 3, 5, 12, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-0.0,"[4, 3, 3, 5, 11, 15]"
-2.31,"[3, 3, 2, 5, 11, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.58,"[3, 3, 3, 5, 11, 16]"
-2.58,"[3, 3, 3, 5, 11, 16]"
-2.56,"[3, 3, 3, 5, 12, 15]"
-2.58,"[3, 3, 3, 5, 11, 16]"
-2.65,"[2, 2, 3, 5, 11, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.65,"[2, 2, 3, 5, 11, 15]"
-2.57,"[2, 2, 3, 5, 12, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.71,"[2, 2, 4, 5, 11, 15]"
-0.0,"[3, 2, 4, 5, 12, 16]"
-0.0,"[3, 2, 4, 5, 11, 15]"
-2.7,"[3, 3, 4, 5, 11, 15]"
-2.48,"[3, 3, 4, 5, 12, 16]"
-2.65,"[3, 3, 4, 5, 11, 16]"
-2.71,"[2, 2, 4, 5, 11, 15]"
-2.77,"[3, 3, 4, 5, 10, 15]"
-2.77,"[3, 3, 4, 5, 10, 15]"
-2.11,"[3, 3, 4, 5, 9, 16]"
-2.7,"[3, 3, 4, 5, 11, 15]"
-2.44,"[3, 3, 4, 5, 12, 15]"
-2.7,"[3, 3, 4, 5, 11, 15]"
-2.77,"[3, 3, 4, 5, 10, 15]"
-2.14,"[2, 2, 4, 5, 9, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.39,"[3, 3, 2, 5, 10, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.81,"[3, 4, 3, 5, 10, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.65,"[2, 2, 3, 5, 11, 15]"
-2.74,"[1, 2, 4, 5, 11, 15]"
-2.04,"[3, 3, 3, 5, 10, 14]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.64,"[3, 3, 3, 5, 11, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.81,"[3, 4, 3, 5, 10, 15]"
-2.73,"[3, 4, 4, 5, 10, 16]"
-2.47,"[1, 2, 4, 5, 12, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-0.0,"[4, 3, 3, 5, 10, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.81,"[3, 6, 3, 5, 10, 15]"
-2.81,"[3, 5, 3, 5, 10, 15]"
-2.68,"[1, 2, 4, 5, 11, 16]"
-2.81,"[3, 8, 3, 5, 10, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.81,"[3, 8, 3, 5, 10, 15]"
-2.81,"[3, 3, 3, 5, 10, 15]"
-2.82,"[2, 3, 3, 5, 10, 15]"
-2.81,"[3, 4, 3, 5, 10, 15]"
