Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 07-Jun-2021,Total applicable ELM%
40,BANDHANBNK,OTM,5.25,0,5.25
41,BANKBARODA,OTH,3.5,3.5,7
42,BANKBARODA,OTM,5.25,5.25,10.5
43,BATAINDIA,OTH,3.5,0,3.5
44,BATAINDIA,OTM,5.25,0,5.25
45,BEL,OTH,3.5,0,3.5
46,BEL,OTM,5.25,0,5.25
47,BERGEPAINT,OTH,3.5,0,3.5
48,BERGEPAINT,OTM,5.25,0,5.25
49,BHARATFORG,OTH,3.5,0,3.5
50,BHARATFORG,OTM,5.25,0,5.25
51,BHARTIARTL,OTH,3.5,0,3.5
52,BHARTIARTL,OTM,5.25,0,5.25
53,BHEL,OTH,3.5,1.75,5.25
54,BHEL,OTM,5.25,2.63,7.88
55,BIOCON,OTH,3.5,0,3.5
56,BIOCON,OTM,5.25,0,5.25
57,BOSCHLTD,OTH,3.5,0,3.5
58,BOSCHLTD,OTM,5.25,0,5.25
59,BPCL,OTH,3.5,0,3.5
60,BPCL,OTM,5.25,0,5.25
61,BRITANNIA,OTH,3.5,0,3.5
62,BRITANNIA,OTM,5.25,0,5.25
63,CADILAHC,OTH,3.5,3.5,7
64,CADILAHC,OTM,5.25,5.25,10.5
65,CANBK,OTH,3.5,7,10.5
66,CANBK,OTM,5.25,10.5,15.75
67,CHOLAFIN,OTH,3.5,0,3.5
68,CHOLAFIN,OTM,5.25,0,5.25
69,CIPLA,OTH,3.5,0,3.5
70,CIPLA,OTM,5.25,0,5.25
71,COALINDIA,OTH,3.5,0,3.5
72,COALINDIA,OTM,5.25,0,5.25
73,COLPAL,OTH,3.5,0,3.5
74,COLPAL,OTM,5.25,0,5.25
75,CONCOR,OTH,3.5,0,3.5
76,CONCOR,OTM,5.25,0,5.25
77,CUB,OTH,3.5,0,3.5
78,CUB,OTM,5.25,0,5.25
79,CUMMINSIND,OTH,3.5,0,3.5
80,CUMMINSIND,OTM,5.25,0,5.25
81,DABUR,OTH,3.5,0,3.5
82,DABUR,OTM,5.25,0,5.25
83,DEEPAKNTR,OTH,3.5,0,3.5
84,DEEPAKNTR,OTM,5.25,0,5.25
85,DIVISLAB,OTH,3.5,0,3.5
86,DIVISLAB,OTM,5.25,0,5.25
87,DLF,OTH,3.5,0,3.5
88,DLF,OTM,5.25,0,5.25
89,DRREDDY,OTH,3.5,0,3.5
90,DRREDDY,OTM,5.25,0,5.25
91,EICHERMOT,OTH,3.5,0,3.5
92,EICHERMOT,OTM,5.25,0,5.25
93,ESCORTS,OTH,3.5,1.75,5.25
94,ESCORTS,OTM,5.25,2.63,7.88
95,EXIDEIND,OTH,3.5,0,3.5
96,EXIDEIND,OTM,5.25,0,5.25
97,FEDERALBNK,OTH,3.5,0,3.5
98,FEDERALBNK,OTM,5.25,0,5.25
99,GAIL,OTH,3.5,0,3.5
100,GAIL,OTM,5.25,0,5.25
101,GLENMARK,OTH,3.5,0,3.5
102,GLENMARK,OTM,5.25,0,5.25
103,GMRINFRA,OTH,3.5,0,3.5
104,GMRINFRA,OTM,5.25,0,5.25
105,GODREJCP,OTH,3.5,0,3.5
106,GODREJCP,OTM,5.25,0,5.25
107,GODREJPROP,OTH,3.5,0,3.5
108,GODREJPROP,OTM,5.25,0,5.25
109,GRANULES,OTH,3.5,0,3.5
110,GRANULES,OTM,5.25,0,5.25
111,GRASIM,OTH,3.5,0,3.5
112,GRASIM,OTM,5.25,0,5.25
113,GUJGASLTD,OTH,3.5,0,3.5
114,GUJGASLTD,OTM,5.25,0,5.25
115,HAVELLS,OTH,3.5,0,3.5
116,HAVELLS,OTM,5.25,0,5.25
117,HCLTECH,OTH,3.5,0,3.5
118,HCLTECH,OTM,5.25,0,5.25
119,HDFC,OTH,3.5,0,3.5
120,HDFC,OTM,5.25,0,5.25
121,HDFCAMC,OTH,3.5,0,3.5
122,HDFCAMC,OTM,5.25,0,5.25
123,HDFCBANK,OTH,3.5,0,3.5
124,HDFCBANK,OTM,5.25,0,5.25
125,HDFCLIFE,OTH,3.5,0,3.5
126,HDFCLIFE,OTM,5.25,0,5.25
127,HEROMOTOCO,OTH,3.5,0,3.5
128,HEROMOTOCO,OTM,5.25,0,5.25
129,HINDALCO,OTH,3.5,0,3.5
130,HINDALCO,OTM,5.25,0,5.25
131,HINDPETRO,OTH,3.5,0,3.5
132,HINDPETRO,OTM,5.25,0,5.25
133,HINDUNILVR,OTH,3.5,0,3.5
134,HINDUNILVR,OTM,5.25,0,5.25
135,IBULHSGFIN,OTH,3.5,10.5,14
136,IBULHSGFIN,OTM,5.25,15.75,21
137,ICICIBANK,OTH,3.5,0,3.5
138,ICICIBANK,OTM,5.25,0,5.25
139,ICICIGI,OTH,3.5,0,3.5
140,ICICIGI,OTM,5.25,0,5.25
141,ICICIPRULI,OTH,3.5,0,3.5
142,ICICIPRULI,OTM,5.25,0,5.25
143,IDEA,OTH,3.5,0,3.5
144,IDEA,OTM,5.25,0,5.25
145,IDFCFIRSTB,OTH,3.5,0,3.5
146,IDFCFIRSTB,OTM,5.25,0,5.25
147,IGL,OTH,3.5,0,3.5
148,IGL,OTM,5.25,0,5.25
149,INDIGO,OTH,3.5,0,3.5
150,INDIGO,OTM,5.25,0,5.25
151,INDUSINDBK,OTH,3.5,0,3.5
152,INDUSINDBK,OTM,5.25,0,5.25
153,INDUSTOWER,OTH,3.5,0,3.5
154,INDUSTOWER,OTM,5.25,0,5.25
155,INFY,OTH,3.5,0,3.5
156,INFY,OTM,5.25,0,5.25
157,IOC,OTH,3.5,0,3.5
158,IOC,OTM,5.25,0,5.25
159,IRCTC,OTH,3.5,0,3.5
160,IRCTC,OTM,5.25,0,5.25
161,ITC,OTH,3.5,0,3.5
162,ITC,OTM,5.25,0,5.25
163,JINDALSTEL,OTH,3.5,0,3.5
164,JINDALSTEL,OTM,5.25,0,5.25
165,JSWSTEEL,OTH,3.5,0,3.5
166,JSWSTEEL,OTM,5.25,0,5.25
167,JUBLFOOD,OTH,3.5,0,3.5
168,JUBLFOOD,OTM,5.25,0,5.25
169,KOTAKBANK,OTH,3.5,0,3.5
170,KOTAKBANK,OTM,5.25,0,5.25
171,L&TFH,OTH,3.5,0,3.5
172,L&TFH,OTM,5.25,0,5.25
173,LALPATHLAB,OTH,3.5,0,3.5
174,LALPATHLAB,OTM,5.25,0,5.25
175,LICHSGFIN,OTH,3.5,0,3.5
176,LICHSGFIN,OTM,5.25,0,5.25
177,LT,OTH,3.5,0,3.5
178,LT,OTM,5.25,0,5.25
179,LTI,OTH,3.5,0,3.5
180,LTI,OTM,5.25,0,5.25
181,LTTS,OTH,3.5,0,3.5
182,LTTS,OTM,5.25,0,5.25
183,LUPIN,OTH,3.5,0,3.5
184,LUPIN,OTM,5.25,0,5.25
185,M&M,OTH,3.5,0,3.5
186,M&M,OTM,5.25,0,5.25
187,M&MFIN,OTH,3.5,1.75,5.25
188,M&MFIN,OTM,5.25,2.63,7.88
189,MANAPPURAM,OTH,3.5,0,3.5
190,MANAPPURAM,OTM,5.25,0,5.25
191,MARICO,OTH,3.5,0,3.5
192,MARICO,OTM,5.25,0,5.25
193,MARUTI,OTH,3.5,0,3.5
194,MARUTI,OTM,5.25,0,5.25
195,MCDOWELL-N,OTH,3.5,0,3.5
196,MCDOWELL-N,OTM,5.25,0,5.25
197,MFSL,OTH,3.5,0,3.5
198,MFSL,OTM,5.25,0,5.25
199,MGL,OTH,3.5,0,3.5
200,MGL,OTM,5.25,0,5.25
201,MINDTREE,OTH,3.5,0,3.5
202,MINDTREE,OTM,5.25,0,5.25
203,MOTHERSUMI,OTH,3.5,0,3.5
204,MOTHERSUMI,OTM,5.25,0,5.25
205,MPHASIS,OTH,3.5,0,3.5
206,MPHASIS,OTM,5.25,0,5.25
207,MRF,OTH,3.5,0,3.5
208,MRF,OTM,5.25,0,5.25
209,MUTHOOTFIN,OTH,3.5,0,3.5
210,MUTHOOTFIN,OTM,5.25,0,5.25
211,NAM-INDIA,OTH,3.5,0,3.5
212,NAM-INDIA,OTM,5.25,0,5.25
213,NATIONALUM,OTH,3.5,5.25,8.75
214,NATIONALUM,OTM,5.25,7.88,13.13
215,NAUKRI,OTH,3.5,0,3.5
216,NAUKRI,OTM,5.25,0,5.25
217,NAVINFLUOR,OTH,3.5,0,3.5
218,NAVINFLUOR,OTM,5.25,0,5.25
219,NESTLEIND,OTH,3.5,0,3.5
220,NESTLEIND,OTM,5.25,0,5.25
221,COFORGE,OTH,3.5,0,3.5
222,COFORGE,OTM,5.25,0,5.25
223,NMDC,OTH,3.5,0,3.5
224,NMDC,OTM,5.25,0,5.25
225,NTPC,OTH,3.5,0,3.5
226,NTPC,OTM,5.25,0,5.25
227,ONGC,OTH,3.5,0,3.5
228,ONGC,OTM,5.25,0,5.25
229,PAGEIND,OTH,3.5,0,3.5
230,PAGEIND,OTM,5.25,0,5.25
231,PEL,OTH,3.5,0,3.5
232,PEL,OTM,5.25,0,5.25
233,PETRONET,OTH,3.5,0,3.5
234,PETRONET,OTM,5.25,0,5.25
235,PFC,OTH,3.5,0,3.5
236,PFC,OTM,5.25,0,5.25
237,PFIZER,OTH,3.5,0,3.5
238,PFIZER,OTM,5.25,0,5.25
239,PIDILITIND,OTH,3.5,0,3.5
240,PIDILITIND,OTM,5.25,0,5.25
241,PIIND,OTH,3.5,0,3.5
242,PIIND,OTM,5.25,0,5.25
243,PNB,OTH,3.5,10.5,14
244,PNB,OTM,5.25,15.75,21
245,POWERGRID,OTH,3.5,0,3.5
246,POWERGRID,OTM,5.25,0,5.25
247,PVR,OTH,3.5,0,3.5
248,PVR,OTM,5.25,0,5.25
249,RAMCOCEM,OTH,3.5,0,3.5
250,RAMCOCEM,OTM,5.25,0,5.25
251,RBLBANK,OTH,3.5,0,3.5
252,RBLBANK,OTM,5.25,0,5.25
253,RECLTD,OTH,3.5,0,3.5
254,RECLTD,OTM,5.25,0,5.25
255,RELIANCE,OTH,3.5,0,3.5
256,RELIANCE,OTM,5.25,0,5.25
257,SAIL,OTH,3.5,10.5,14
258,SAIL,OTM,5.25,15.75,21
259,SBILIFE,OTH,3.5,0,3.5
260,SBILIFE,OTM,5.25,0,5.25
261,SBIN,OTH,3.5,0,3.5
262,SBIN,OTM,5.25,0,5.25
263,SHREECEM,OTH,3.5,0,3.5
264,SHREECEM,OTM,5.25,0,5.25
265,SIEMENS,OTH,3.5,0,3.5
266,SIEMENS,OTM,5.25,0,5.25
267,SRF,OTH,3.5,0,3.5
268,SRF,OTM,5.25,0,5.25
269,SRTRANSFIN,OTH,3.5,0,3.5
270,SRTRANSFIN,OTM,5.25,0,5.25
271,SUNPHARMA,OTH,3.5,0,3.5
272,SUNPHARMA,OTM,5.25,0,5.25
273,SUNTV,OTH,3.5,15,18.5
274,SUNTV,OTM,5.25,15.75,21
275,TATACHEM,OTH,3.5,0,3.5
276,TATACHEM,OTM,5.25,0,5.25
277,TATACONSUM,OTH,3.5,0,3.5
278,TATACONSUM,OTM,5.25,0,5.25
279,TATAMOTORS,OTH,3.5,0,3.5
280,TATAMOTORS,OTM,5.25,0,5.25
281,TATAPOWER,OTH,3.5,3.5,7
282,TATAPOWER,OTM,5.25,5.25,10.5
283,TATASTEEL,OTH,3.5,0,3.5
284,TATASTEEL,OTM,5.25,0,5.25
285,TCS,OTH,3.5,0,3.5
286,TCS,OTM,5.25,0,5.25
287,TECHM,OTH,3.5,0,3.5
288,TECHM,OTM,5.25,0,5.25
289,TITAN,OTH,3.5,0,3.5
290,TITAN,OTM,5.25,0,5.25
291,TORNTPHARM,OTH,3.5,0,3.5
292,TORNTPHARM,OTM,5.25,0,5.25
293,TORNTPOWER,OTH,3.5,0,3.5
294,TORNTPOWER,OTM,5.25,0,5.25
295,TRENT,OTH,3.5,0,3.5
296,TRENT,OTM,5.25,0,5.25
297,TVSMOTOR,OTH,3.5,0,3.5
298,TVSMOTOR,OTM,5.25,0,5.25
299,UBL,OTH,3.5,0,3.5
300,UBL,OTM,5.25,0,5.25
301,ULTRACEMCO,OTH,3.5,0,3.5
302,ULTRACEMCO,OTM,5.25,0,5.25
303,UPL,OTH,3.5,0,3.5
304,UPL,OTM,5.25,0,5.25
305,VEDL,OTH,3.5,0,3.5
306,VEDL,OTM,5.25,0,5.25
307,VOLTAS,OTH,3.5,0,3.5
308,VOLTAS,OTM,5.25,0,5.25
309,WIPRO,OTH,3.5,0,3.5
310,WIPRO,OTM,5.25,0,5.25
311,ZEEL,OTH,3.5,0,3.5
312,ZEEL,OTM,5.25,0,5.25
