Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 07-Jun-2021,Total applicable ELM%
1,AARTIIND,OTH,3.5,0,3.5
2,AARTIIND,OTM,5.25,0,5.25
3,ACC,OTH,3.5,0,3.5
4,ACC,OTM,5.25,0,5.25
5,ADANIENT,OTH,3.5,0,3.5
6,ADANIENT,OTM,5.25,0,5.25
7,ADANIPORTS,OTH,3.5,0,3.5
8,ADANIPORTS,OTM,5.25,0,5.25
9,ALKEM,OTH,3.5,0,3.5
10,ALKEM,OTM,5.25,0,5.25
11,AMARAJABAT,OTH,3.5,5.25,8.75
12,AMARAJABAT,OTM,5.25,7.88,13.13
13,AMBUJACEM,OTH,3.5,0,3.5
14,AMBUJACEM,OTM,5.25,0,5.25
15,APLLTD,OTH,3.5,0,3.5
16,APLLTD,OTM,5.25,0,5.25
17,APOLLOHOSP,OTH,3.5,0,3.5
18,APOLLOHOSP,OTM,5.25,0,5.25
19,APOLLOTYRE,OTH,3.5,0,3.5
20,APOLLOTYRE,OTM,5.25,0,5.25
21,ASHOKLEY,OTH,3.5,0,3.5
22,ASHOKLEY,OTM,5.25,0,5.25
23,ASIANPAINT,OTH,3.5,0,3.5
24,ASIANPAINT,OTM,5.25,0,5.25
25,AUBANK,OTH,3.5,0,3.5
26,AUBANK,OTM,5.25,0,5.25
27,AUROPHARMA,OTH,3.5,0,3.5
28,AUROPHARMA,OTM,5.25,0,5.25
29,AXISBANK,OTH,3.5,0,3.5
30,AXISBANK,OTM,5.25,0,5.25
31,BAJAJ-AUTO,OTH,3.5,0,3.5
32,BAJAJ-AUTO,OTM,5.25,0,5.25
33,BAJAJFINSV,OTH,3.5,0,3.5
34,BAJAJFINSV,OTM,5.25,0,5.25
35,BAJFINANCE,OTH,3.5,0,3.5
36,BAJFINANCE,OTM,5.25,0,5.25
37,BALKRISIND,OTH,3.5,0,3.5
38,BALKRISIND,OTM,5.25,0,5.25
39,BANDHANBNK,OTH,3.5,0,3.5
