,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-25 09:15:00+05:30,433.0,435.29998779296875,432.04998779296875,433.20001220703125,182626,0.0,0
2019-06-25 10:15:00+05:30,433.25,435.3500061035156,430.29998779296875,431.5,232781,0.0,0
2019-06-25 11:15:00+05:30,431.6000061035156,434.0,430.79998779296875,433.8999938964844,156922,0.0,0
2019-06-25 12:15:00+05:30,433.75,435.6000061035156,433.1499938964844,434.79998779296875,112095,0.0,0
2019-06-25 13:15:00+05:30,434.70001220703125,435.3500061035156,434.1499938964844,435.0,372455,0.0,0
2019-06-25 14:15:00+05:30,435.04998779296875,437.0,434.6000061035156,436.5,199832,0.0,0
2019-06-25 15:15:00+05:30,436.29998779296875,436.29998779296875,434.3500061035156,435.8500061035156,0,0.0,0
2019-06-26 09:15:00+05:30,435.70001220703125,447.3999938964844,434.1499938964844,445.70001220703125,378688,0.0,0
2019-06-26 10:15:00+05:30,445.8500061035156,447.0,444.1499938964844,446.0,124646,0.0,0
2019-06-26 11:15:00+05:30,446.20001220703125,449.8999938964844,446.20001220703125,449.0,172288,0.0,0
2019-06-26 12:15:00+05:30,449.0,449.1499938964844,443.54998779296875,444.45001220703125,194358,0.0,0
2019-06-26 13:15:00+05:30,444.45001220703125,446.79998779296875,444.0,445.70001220703125,64418,0.0,0
2019-06-26 14:15:00+05:30,445.70001220703125,449.5,445.3999938964844,449.0,238914,0.0,0
2019-06-26 15:15:00+05:30,449.0,450.20001220703125,448.1000061035156,448.6000061035156,108153,0.0,0
2019-06-27 09:15:00+05:30,451.8999938964844,453.29998779296875,448.45001220703125,449.1000061035156,241345,0.0,0
2019-06-27 10:15:00+05:30,449.1000061035156,452.70001220703125,447.75,452.5,203199,0.0,0
2019-06-27 11:15:00+05:30,452.6499938964844,452.8500061035156,450.25,450.6499938964844,98036,0.0,0
2019-06-27 12:15:00+05:30,450.25,454.79998779296875,450.20001220703125,452.6000061035156,218698,0.0,0
2019-06-27 13:15:00+05:30,452.45001220703125,452.8999938964844,450.45001220703125,451.79998779296875,149949,0.0,0
2019-06-27 14:15:00+05:30,451.6499938964844,456.95001220703125,451.1000061035156,455.3999938964844,537853,0.0,0
2019-06-27 15:15:00+05:30,455.20001220703125,456.95001220703125,453.95001220703125,455.95001220703125,171498,0.0,0
2019-06-28 09:15:00+05:30,454.79998779296875,465.5,0.0,465.0,684035,0.0,0
2019-06-28 10:15:00+05:30,463.1000061035156,468.0,463.0,463.3999938964844,582030,0.0,0
2019-06-28 11:15:00+05:30,464.3500061035156,464.3500061035156,461.6000061035156,462.20001220703125,216433,0.0,0
2019-06-28 12:15:00+05:30,462.1499938964844,462.70001220703125,455.5,456.0,261995,0.0,0
2019-06-28 13:15:00+05:30,460.70001220703125,460.75,451.25,451.79998779296875,362367,0.0,0
2019-06-28 14:15:00+05:30,453.75,453.79998779296875,448.0,450.20001220703125,419294,0.0,0
2019-06-28 15:15:00+05:30,450.25,451.20001220703125,448.3500061035156,449.8999938964844,167941,0.0,0
2019-07-01 09:15:00+05:30,452.0,458.8999938964844,0.0,456.75,359997,0.0,0
2019-07-01 10:15:00+05:30,456.6000061035156,459.3500061035156,456.20001220703125,457.70001220703125,157579,0.0,0
