Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-11-21,108.16336940009892,149.58942542394604,108.16336940009892,142.09556579589844,11598928,0.0,0.0
2006-11-22,147.4792146958882,147.4792146958882,131.89198062233902,140.65679931640625,20159428,0.0,0.0
2006-11-23,142.44329127098837,150.59661097336817,141.98765872715958,147.26333618164062,18610136,0.0,0.0
2006-11-24,148.67816069718734,148.73811156843618,137.94695474364033,139.97329711914062,8397472,0.0,0.0
2006-11-27,140.23706960621115,147.17938315224936,135.48896371653098,144.44561767578125,11426728,0.0,0.0
2006-11-28,141.48409019249092,144.36173270488058,139.08605476549954,143.06678771972656,5777812,0.0,0.0
2006-11-29,145.08112443383646,151.79562275474132,144.9132590485249,148.47434997558594,13767608,0.0,0.0
2006-11-30,149.15777193388914,154.31354700877438,146.75973701533786,151.30401611328125,9492596,0.0,0.0
2006-12-01,151.79563737226238,155.15288685600908,150.83642323404902,152.08340454101562,4314216,0.0,0.0
2006-12-04,151.07619767753465,152.99462558455096,143.4024860494694,144.517578125,2501604,0.0,0.0
2006-12-05,145.08113722396703,147.6950015839029,142.0356294326375,143.46246337890625,3782736,0.0,0.0
2006-12-06,144.4696391495512,147.44319413091057,140.58481904772364,141.9157257080078,3137324,0.0,0.0
2006-12-07,142.68308078881145,145.54873550673267,140.5368365622624,143.85812377929688,3308756,0.0,0.0
2006-12-08,144.93724212653498,145.02116749746224,138.64240021366456,139.8174285888672,1753604,0.0,0.0
2006-12-11,140.65672670910365,140.65672670910365,127.41957183240099,134.4937744140625,2114796,0.0,0.0
2006-12-12,134.30198790569534,136.17245284466273,121.1127914128569,128.39083862304688,2344832,0.0,0.0
2006-12-13,130.45313071558786,131.86797750991298,121.82020294764456,127.47956085205078,1640976,0.0,0.0
2006-12-14,129.80563282456984,131.74804997442095,128.29487368787068,130.15335083007812,880844,0.0,0.0
2006-12-15,131.65212148668832,139.80544048586393,131.05261273674896,138.53448486328125,2671300,0.0,0.0
2006-12-18,140.04527383044908,140.04527383044908,131.17254244050625,135.6208953857422,2607272,0.0,0.0
2006-12-19,134.2899690907321,136.14844634154133,131.95188480745594,134.70962524414062,1109156,0.0,0.0
2006-12-20,135.90863361125793,141.93969749022577,133.58253673420433,138.53448486328125,2084116,0.0,0.0
2006-12-21,137.40742063097136,144.96123171277867,134.66166732632684,141.184326171875,2867272,0.0,0.0
2006-12-22,141.00447119773995,148.19857687109405,141.00447119773995,142.83897399902344,2556320,0.0,0.0
2006-12-26,143.8221389630257,146.9395842427578,141.65192036865466,142.2993927001953,1065528,0.0,0.0
2006-12-27,143.64234546145957,145.08116695189156,140.2970825689154,141.10043334960938,700296,0.0,0.0
2006-12-28,142.5152716396944,142.53926078073752,135.84873471680402,137.1796417236328,771920,0.0,0.0
2006-12-29,139.8773756297301,140.6927133668618,137.8390459233446,139.16995239257812,663760,0.0,0.0
2007-01-02,139.58963650092306,142.6831080596522,138.36664428641902,141.43612670898438,500256,0.0,0.0
2007-01-03,142.15549577022196,151.02822426517454,142.15549577022196,147.73092651367188,5253976,0.0,0.0
2007-01-04,148.6781506717106,163.49800211782815,148.2704818474191,158.1743621826172,12037320,0.0,0.0
2007-01-05,158.63003819589397,168.27014321762758,157.95859122605773,164.9248809814453,7486000,0.0,0.0
2007-01-08,167.88646691215067,176.23164252972512,164.26543900187102,173.5218505859375,7027964,0.0,0.0
2007-01-09,176.49538684955803,179.8526360559355,161.86737245034195,163.61793518066406,5143356,0.0,0.0
2007-01-10,162.58681786158434,165.2366443404459,157.91064832131755,162.8985595703125,2896344,0.0,0.0
2007-01-11,164.02559202836346,167.8624479822433,161.2918263066465,167.46676635742188,1971528,0.0,0.0
2007-01-12,167.86250048465647,167.86250048465647,160.98013503749584,162.3230438232422,959664,0.0,0.0
2007-01-15,163.73786657645425,164.74504444796716,161.1719655769766,162.1311798095703,736712,0.0,0.0
2007-01-16,163.06641390091193,173.13816299479177,161.49570357665579,166.86729431152344,2030196,0.0,0.0
2007-01-17,167.8624344249578,168.7497102199211,164.76896370740647,165.75216674804688,1118252,0.0,0.0
2007-01-18,167.14311041903855,172.61062961162523,165.94409241029365,167.02320861816406,1627500,0.0,0.0
2007-01-19,168.79772430726734,168.82169880763277,162.34700297268094,164.36135864257812,872140,0.0,0.0
2007-01-22,165.45242903552074,170.50028982238263,162.3469707591463,168.2581329345703,637564,0.0,0.0
2007-01-23,169.70891522203078,173.84552499606542,169.06144293880652,170.39234924316406,1315992,0.0,0.0
2007-01-24,171.91514333475428,176.01577752887357,169.90078798257073,174.38511657714844,1040752,0.0,0.0
2007-01-25,176.135701026884,181.05167362191617,173.67771472936792,175.82395935058594,1620632,0.0,0.0
2007-01-29,176.6633061017761,181.05170883227512,171.4595653179824,177.95823669433594,837080,0.0,0.0
2007-01-31,181.77109176387486,182.2506988661542,164.9848431840975,166.92724609375,734844,0.0,0.0
2007-02-01,168.88166079629488,168.88166079629488,163.54603147046234,164.06161499023438,395824,0.0,0.0
2007-02-02,165.94405454282995,177.21482125310885,164.50523326066667,175.30838012695312,1293668,0.0,0.0
2007-02-05,175.05655838588444,175.53616539516082,171.69930932094965,172.8623504638672,460244,0.0,0.0
2007-02-06,173.13815845418324,176.97501515122886,172.65855136705252,173.49786376953125,561084,0.0,0.0
2007-02-07,176.49537406316765,176.49537406316765,166.69940705024467,168.48593139648438,184376,0.0,0.0
2007-02-08,169.78092446439777,178.6296818906384,168.89364834428574,177.4306640625,858868,0.0,0.0
2007-02-09,178.89344673768994,179.2291775593368,165.70425160287365,168.37806701660156,341720,0.0,0.0
2007-02-12,169.0615091319281,169.0615091319281,152.27525999826148,156.42385864257812,296880,0.0,0.0
2007-02-13,157.0712512202298,162.58673027071117,152.55096228778098,154.61326599121094,298252,0.0,0.0
2007-02-14,149.34963299476112,154.91307772261473,146.4240270516579,152.33518981933594,164940,0.0,0.0
2007-02-15,154.52940965982043,160.188767445533,154.52940965982043,157.19122314453125,327152,0.0,0.0
2007-02-19,163.0664568062288,163.0664568062288,156.83156286952007,159.22959899902344,190348,0.0,0.0
2007-02-20,158.51011280197426,160.42854079352614,155.87227431359042,156.6396484375,254732,0.0,0.0
2007-02-21,157.95859571813207,161.8554032676253,157.0952941868379,158.49815368652344,141652,0.0,0.0
2007-02-22,160.66832994940344,161.55560574357676,152.53898620634163,154.10971069335938,405368,0.0,0.0
2007-02-23,154.6733309771864,157.79077795812194,142.9229538951986,146.1483154296875,170744,0.0,0.0
2007-02-26,146.04035741804645,157.98257091016387,144.36173262013787,155.70443725585938,232240,0.0,0.0
2007-02-27,156.83148899264614,161.14795199244375,152.32318612014637,160.1048126220703,184804,0.0,0.0
2007-02-28,151.07626807426766,164.48129517543754,140.28510606896282,158.42625427246094,317764,0.0,0.0
2007-03-01,158.27033218472582,163.06640285699024,155.8722968485936,160.58444213867188,252624,0.0,0.0
2007-03-02,159.46937327028766,163.54603394035516,155.63251616904765,157.6588592529297,217560,0.0,0.0
2007-03-05,156.5916636996143,161.3637585398302,152.03539783392873,154.64926147460938,447824,0.0,0.0
2007-03-06,157.79074777322788,160.18878345367207,149.6374264597176,154.54141235351562,391992,0.0,0.0
2007-03-07,157.47901061883877,159.93699726241783,151.07625223949427,153.0066680908203,574788,0.0,0.0
2007-03-08,153.47424873268673,155.63248035549015,145.08112575511794,149.0019073486328,329856,0.0,0.0
2007-03-09,151.55579258943214,155.84828054424767,150.11697177370968,152.58694458007812,111024,0.0,0.0
2007-03-12,153.47426823416507,157.0713213959033,152.27525051358566,156.17205810546875,65144,0.0,0.0
2007-03-13,155.8722745729545,161.86736205652966,154.43345357689645,160.51246643066406,85072,0.0,0.0
2007-03-14,156.1360268592556,157.0712662072802,146.28011051365024,156.18399047851562,26928,0.0,0.0
2007-03-15,159.94890509459452,181.0516092150208,154.67322906448797,161.38772583007812,1578676,0.0,0.0
2007-03-16,165.0807291852148,171.939103178482,162.58676702233026,169.20533752441406,703316,0.0,0.0
2007-03-19,170.26052301846403,179.61286160680217,167.62268392944557,176.83114624023438,936520,0.0,0.0
2007-03-20,176.96296995756734,186.29131596596957,173.9294502701658,175.16444396972656,1353848,0.0,0.0
2007-03-21,176.25560453162595,178.89344351101082,165.72822311386577,166.97520446777344,739176,0.0,0.0
2007-03-22,170.2605482601033,171.84324609357515,165.96805816065608,166.83135986328125,315260,0.0,0.0
2007-03-23,167.86245765563586,170.72811253861744,162.58678041503015,164.45724487304688,301236,0.0,0.0
2007-03-26,165.46442618109648,167.1430507945279,162.58678398664264,164.69705200195312,435320,0.0,0.0
2007-03-28,164.21748409421187,164.9848584561815,158.51016197606972,161.97532653808594,204188,0.0,0.0
2007-03-29,161.14797363195188,164.26541955042714,161.14797363195188,163.17431640625,97152,0.0,0.0
2007-03-30,163.7858314755555,169.06150979541235,161.14799231562708,162.3949737548828,267352,0.0,0.0
2007-04-02,160.66837328124325,167.86247954756757,160.66837328124325,162.43092346191406,292268,0.0,0.0
2007-04-03,162.4309396889962,165.22465708942715,159.709175067574,162.8985595703125,171872,0.0,0.0
2007-04-04,164.91291286052652,166.18386881450223,160.82426504714184,162.10720825195312,81192,0.0,0.0
2007-04-05,161.50769693984188,162.91054190500753,159.8890229170595,160.29669189453125,34676,0.0,0.0
2007-04-09,162.203161352397,166.66350247040617,161.14801965483878,162.0113067626953,217956,0.0,0.0
2007-04-10,162.99447637056585,170.26052103093463,162.22710208088347,164.4213104248047,476620,0.0,0.0
2007-04-11,165.4164918033856,175.53620490410873,164.26543764933672,173.6057891845703,845940,0.0,0.0
2007-04-12,172.41876902590067,177.13091509099323,169.80490422503152,174.93670654296875,284728,0.0,0.0
2007-04-13,175.4642532328688,185.12833297240311,170.26051348498214,181.2675018310547,1112208,0.0,0.0
2007-04-16,182.65836851082818,197.83793042722783,182.65836851082818,192.32244873046875,955176,0.0,0.0
2007-04-17,193.20968256300262,194.19287105682568,185.42805607337186,186.9148406982422,256044,0.0,0.0
2007-04-18,188.68940783071633,188.68940783071633,182.9700993097541,184.20509338378906,218312,0.0,0.0
2007-04-19,180.5840401715682,182.9700881540776,177.45460712191013,179.0013427734375,73776,0.0,0.0
2007-04-20,181.93892631912175,186.08752412292378,175.11651351902717,175.95582580566406,210188,0.0,0.0
2007-04-23,178.83350540437118,178.83350540437118,171.55547319120282,172.502685546875,95768,0.0,0.0
2007-04-24,172.61058340373566,179.8286786659645,170.26051166300041,176.66326904296875,213012,0.0,0.0
2007-04-25,176.25557820938553,176.25557820938553,171.93911506956385,172.57460021972656,80696,0.0,0.0
2007-04-26,177.93420179553235,178.41380880845833,172.41872114688377,175.97979736328125,285136,0.0,0.0
2007-04-27,175.0565783631575,176.25559602317915,171.51947626609373,172.14295959472656,52156,0.0,0.0
2007-04-30,170.90800483473132,189.3728794620261,170.28450677973296,186.72305297851562,409076,0.0,0.0
2007-05-03,191.5550447066194,194.240846999832,178.89342205169712,183.47366333007812,465924,0.0,0.0
2007-05-04,185.12837696741457,185.36818056452262,178.78556889661664,180.27235412597656,130592,0.0,0.0
2007-05-07,182.010883328658,185.60793635886864,178.65363383379474,180.00852966308594,62532,0.0,0.0
2007-05-08,180.09248797102532,211.02714968642115,180.09248797102532,197.69407653808594,4772308,0.0,0.0
2007-05-09,196.6868347917038,199.58845130430416,187.3344982363366,189.42079162597656,1441016,0.0,0.0
2007-05-10,190.88357274955382,202.3701654567738,190.70372013703854,195.33192443847656,2268980,0.0,0.0
2007-05-11,191.84280589857096,197.35828656815488,183.44968314050848,192.98187255859375,733424,0.0,0.0
2007-05-14,197.83793320941143,197.83793320941143,192.32245143508842,193.92913818359375,328984,0.0,0.0
2007-05-15,194.72044211171806,194.96024561185564,190.65576985709717,191.80682373046875,195276,0.0,0.0
2007-05-16,193.04183056792738,196.35111616465997,191.84281298676012,192.44232177734375,132592,0.0,0.0
2007-05-17,194.24085064686946,200.5476802776207,191.84281545369822,192.8260040283203,433488,0.0,0.0
2007-05-18,187.16669487816824,196.39913274211375,187.16669487816824,192.04669189453125,144892,0.0,0.0
2007-05-21,194.72047528081893,196.63890360870877,191.9267581737507,193.14976501464844,85864,0.0,0.0
2007-05-22,194.2408103593888,198.55727281181967,191.84277566359387,194.204833984375,183480,0.0,0.0
2007-05-23,195.4399024517427,197.35833094206654,186.1235399501866,189.74456787109375,192864,0.0,0.0
2007-05-24,190.4040246425021,195.43989934967155,189.44481041256506,192.21453857421875,217540,0.0,0.0
2007-05-25,187.77813232923342,195.67966077430842,187.77813232923342,191.49508666992188,135284,0.0,0.0
2007-05-28,194.24086693209816,197.34632569490682,189.4447961436513,189.82847595214844,82028,0.0,0.0
2007-05-29,191.84282802844598,199.0369340795127,188.96518560801928,197.7419891357422,547784,0.0,0.0
2007-05-30,196.63889511980634,200.33187534614694,191.8428245071281,192.81402587890625,444328,0.0,0.0
2007-05-31,195.43982770728627,197.33428097154115,193.05378025768186,194.204833984375,102764,0.0,0.0
2007-06-01,196.6388978354305,198.55732610699567,194.75644594853566,197.68203735351562,179592,0.0,0.0
2007-06-04,198.78516794590564,209.82811917641476,196.15931598435117,206.75863647460938,1206772,0.0,0.0
2007-06-05,205.75146151202853,211.98635428512029,199.56453237986557,201.63882446289062,1109580,0.0,0.0
2007-06-06,203.3534074808443,203.36539473088283,195.45187769448205,196.91468811035156,208460,0.0,0.0
2007-06-07,195.43989363207126,199.87625931574405,193.76126877878966,194.50465393066406,458340,0.0,0.0
2007-06-08,199.0369011927798,199.0369011927798,190.88358234873823,194.36073303222656,270340,0.0,0.0
2007-06-11,196.37510581613128,198.07770493130172,194.37273766843325,195.29598999023438,37124,0.0,0.0
2007-06-12,195.67971176513583,195.67971176513583,186.56717616823002,193.42555236816406,110892,0.0,0.0
2007-06-13,194.4806626038537,194.4806626038537,189.44478847970953,190.5119171142578,31084,0.0,0.0
2007-06-14,193.52144775630305,196.15928657330346,190.88360893930263,191.87879943847656,39768,0.0,0.0
2007-06-15,194.21691771344575,199.0369636286691,192.3224636508345,195.78762817382812,221172,0.0,0.0
2007-06-18,195.67970175590574,197.80195737257642,187.1067246262812,188.22181701660156,92588,0.0,0.0
2007-06-19,188.22177986154915,190.4039859364699,161.98727015124106,186.3752899169922,117540,0.0,0.0
2007-06-20,189.13310227489816,197.1185592287738,187.55038973279702,193.67738342285156,158404,0.0,0.0
2007-06-21,194.24089200313165,195.41593535254478,189.46879509810498,190.63185119628906,38176,0.0,0.0
2007-06-22,191.72289791253522,192.9698790376291,178.65360718553939,187.52633666992188,54856,0.0,0.0
2007-06-25,188.48558868952068,191.8428383608353,185.8477496620592,187.3944854736328,36448,0.0,0.0
2007-06-26,189.20498808337038,191.81885245519692,185.8477386116756,187.49038696289062,124988,0.0,0.0
2007-06-27,188.0059649968628,190.64380379146164,186.3273403093908,187.13067626953125,108148,0.0,0.0
2007-06-28,189.68457282843409,189.68457282843409,185.8477167408804,186.6031036376953,87200,0.0,0.0
2007-06-29,188.9651710600683,188.9651710600683,185.96762710289715,186.998779296875,67088,0.0,0.0
2007-07-02,190.4039833448504,190.4039833448504,185.8477167408804,186.6031036376953,30016,0.0,0.0
2007-07-03,188.96518051398536,197.83791107111412,188.72537698541433,193.10179138183594,221000,0.0,0.0
2007-07-04,194.2408397392032,194.2408397392032,189.44476962218585,191.49508666992188,41300,0.0,0.0
2007-07-05,192.0826052103413,192.0826052103413,187.5263386697714,188.0539093017578,48700,0.0,0.0
2007-07-06,187.2865342078831,191.78284984987775,185.84771320244482,189.21694946289062,111332,0.0,0.0
2007-07-09,190.6438067862686,193.07781847591696,187.58631177177185,190.77569580078125,51668,0.0,0.0
2007-07-10,192.8020481651574,228.94044494628903,192.8020481651574,228.94044494628906,1823996,0.0,0.0
2007-07-11,231.41040245954937,245.55881048557364,219.4442006643167,222.01010131835938,3010292,0.0,0.0
2007-07-12,225.03168565563337,238.54461155381313,206.47088268191314,216.54263305664062,2103940,0.0,0.0
2007-07-13,219.99578720521012,246.99766164284944,211.5067355038769,213.76089477539062,1770776,0.0,0.0
2007-07-16,217.08213293283472,217.08213293283472,208.22139008633195,212.9095458984375,508156,0.0,0.0
2007-07-17,215.079763928474,215.3435419225766,203.35336698256677,206.2429962158203,548736,0.0,0.0
2007-07-18,203.4468623752205,208.3311171538754,199.2106304581988,202.15078735351562,240528,0.1875,0.0
2007-07-19,205.7869400517343,205.7869400517343,198.5745451127779,200.53065490722656,184944,0.0,0.0
2007-07-20,200.41069946554916,211.211276083453,197.20653426192553,208.619140625,627860,0.0,0.0
