Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-02,7.772260189056396,7.772260189056396,7.772260189056396,7.7722601890563965,1500,0.0,0.0
1996-01-03,7.821138576355991,7.821138576355991,7.674492359161376,7.674492359161377,3000,0.0,0.0
1996-01-04,7.674492359161376,7.674492359161376,7.674492359161376,7.674492359161377,0,0.0,0.0
1996-01-05,7.82114146745383,7.82114146745383,7.67449519605118,7.679383754730225,6000,0.0,0.0
1996-01-08,7.576729554145894,7.7233757972717285,7.576729554145894,7.7233757972717285,3000,0.0,0.0
1996-01-09,7.7233757972717285,7.7233757972717285,7.7233757972717285,7.7233757972717285,0,0.0,0.0
1996-01-10,7.381200313568116,7.381200313568116,7.381200313568116,7.381200313568115,1500,0.0,0.0
1996-01-11,7.381200313568116,7.381200313568116,7.381200313568116,7.381200313568115,0,0.0,0.0
1996-01-12,7.381200313568116,7.381200313568116,7.381200313568116,7.381200313568115,0,0.0,0.0
1996-01-15,7.381200313568116,7.381200313568116,7.381200313568116,7.381200313568115,0,0.0,0.0
1996-01-16,7.381199770338656,7.381199770338656,7.087907314300538,7.087907314300537,3000,0.0,0.0
1996-01-17,7.087907314300538,7.087907314300538,7.087907314300538,7.087907314300537,0,0.0,0.0
1996-01-18,7.087907523858646,7.087907523858646,6.941261291503906,6.941261291503906,3000,0.0,0.0
1996-01-19,7.234555721282958,7.234555721282958,7.234555721282958,7.234555721282959,1500,0.0,0.0
1996-01-22,7.234555721282958,7.234555721282958,7.234555721282958,7.234555721282959,0,0.0,0.0
1996-01-23,7.210115025550718,7.246776768413663,7.03902805763128,7.234555721282959,15000,0.0,0.0
1996-01-24,7.234555721282958,7.234555721282958,7.234555721282958,7.234555721282959,6000,0.0,0.0
1996-01-25,7.332322120666504,7.332322120666504,7.332322120666504,7.332322120666504,1500,0.0,0.0
1996-01-26,7.332322120666504,7.332322120666504,7.332322120666504,7.332322120666504,0,0.0,0.0
1996-01-29,7.087907314300538,7.087907314300538,7.087907314300538,7.087907314300537,1500,0.0,0.0
1996-01-30,7.234553542319596,7.25899492995496,7.087907314300538,7.087907314300537,12000,0.0,0.0
1996-01-31,7.210114479064941,7.210114479064941,7.210114479064941,7.210114479064941,1500,0.0,0.0
1996-02-01,7.430081997170352,7.674492359161376,7.430081997170352,7.674492359161377,6000,0.0,0.0
1996-02-02,8.407727241516113,8.407727241516113,8.407727241516113,8.407727241516113,1500,0.0,0.0
1996-02-05,8.407726883199613,8.652138024071418,8.407726883199613,8.591034889221191,10500,0.0,0.0
1996-02-06,8.591033676448873,9.04319345404057,8.556816569086466,8.65213680267334,19500,0.0,0.0
1996-02-07,8.456605911254883,8.456605911254883,8.456605911254883,8.456605911254883,1500,0.0,0.0
1996-02-08,8.456610392999993,8.554374586076161,8.456610392999993,8.500604629516602,24000,0.0,0.0
1996-02-09,8.798783492980933,9.336486415869144,8.798783492980933,9.287604331970215,19500,0.0,0.0
